,exist,x,y,width,height,Raw data ID,copyrighter,resolution,date,breed,age,gender,region,camera type,species,lesions,diagnosis,Path,identifier,src_path,label_path,type,fileformat,inspRejectYn
15,Y,610,576,50,42,IMG_D_A1_05_011096.jpg,㈜미소정보기술,1920X1080,2021-09-16,몽그렐,12,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
16,Y,1314,628,170,148,IMG_D_A1_20_011097.jpg,㈜미소정보기술,1920X1080,2021-10-05,페키니즈,5,F,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
17,Y,763,545,49,67,IMG_D_A1_011098.jpg,㈜미소정보기술,1920X1080,2021-10-05,포메라니안,3,F,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
18,Y,1290,389,503,279,IMG_D_A1_011099.jpg,㈜미소정보기술,1920X1080,2021-10-05,포메라니안,5,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
19,Y,633,386,291,216,IMG_D_A1_011100.jpg,㈜미소정보기술,1920X1080,2021-10-05,푸들,5,F,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
20,Y,904,379,342,214,IMG_D_A1_011101.jpg,㈜미소정보기술,1920X1080,2021-10-05,푸들,5,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
21,Y,521,323,502,257,IMG_D_A1_011102.jpg,㈜미소정보기술,1920X1080,2021-10-05,푸들,5,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
22,Y,929,427,73,60,IMG_D_A1_011103.jpg,㈜미소정보기술,1920X1080,2021-10-05,푸들,6,F,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
23,Y,1000,484,115,115,IMG_D_A1_011104.jpg,㈜미소정보기술,1920X1080,2021-10-05,푸들,6,F,H,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
24,Y,1022,482,158,99,IMG_D_A1_011105.jpg,㈜미소정보기술,1920X1080,2021-10-05,푸들,6,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
25,Y,728,663,185,118,IMG_D_A1_011106.jpg,㈜미소정보기술,1920X1080,2021-10-05,푸들,6,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
26,Y,915,557,138,104,IMG_D_A1_011108.jpg,㈜미소정보기술,1920X1080,2021-10-07,말티즈,6,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
27,Y,828,654,100,78,IMG_D_A1_011109.jpg,㈜미소정보기술,1920X1080,2021-10-07,시츄,1,M,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
28,Y,281,241,210,171,IMG_D_A1_011111.jpg,㈜미소정보기술,1920X1080,2021-10-12,말티즈,5,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
29,Y,1073,372,219,159,IMG_D_A1_011112.jpg,㈜미소정보기술,1920X1080,2021-10-13,포메라니안,5,F,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
30,Y,1001,600,415,364,IMG_D_A1_011113.jpg,㈜미소정보기술,1920X1080,2021-10-14,말티즈,12,F,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
31,Y,308,735,287,301,IMG_D_A1_011114.jpg,㈜미소정보기술,1920X1080,2021-10-14,말티즈,6,M,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
32,Y,803,542,451,313,IMG_D_A1_011115.jpg,㈜미소정보기술,1920X1080,2021-10-14,장모치와와,9,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
33,Y,720,383,363,313,IMG_D_A1_011116.jpg,㈜미소정보기술,1920X1080,2021-10-14,푸들,4,F,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
34,Y,813,377,511,478,IMG_D_A1_011117.jpg,㈜미소정보기술,1920X1080,2021-10-14,푸들,6,F,H,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
35,Y,427,231,565,400,IMG_D_A1_011118.jpg,㈜미소정보기술,1920X1080,2021-10-15,말티즈,3,M,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
36,Y,1043,310,313,271,IMG_D_A1_011119.jpg,㈜미소정보기술,1920X1080,2021-10-15,푸들,3,F,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
37,Y,567,464,260,145,IMG_D_A1_011120.jpg,㈜미소정보기술,1920X1080,2021-10-15,푸들,5,F,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
38,Y,372,63,339,204,IMG_D_A1_011121.jpg,㈜미소정보기술,1920X1080,2021-10-15,푸들,5,F,H,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
39,Y,880,316,413,306,IMG_D_A1_011122.jpg,㈜미소정보기술,1920X1080,2021-10-18,말티즈,4,F,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
40,Y,1103,286,368,189,IMG_D_A1_011123.jpg,㈜미소정보기술,1920X1080,2021-10-18,말티즈,4,F,H,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
41,Y,827,315,434,241,IMG_D_A1_011124.jpg,㈜미소정보기술,1920X1080,2021-10-18,말티즈,6,M,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
42,Y,1070,297,334,319,IMG_D_A1_011125.jpg,㈜미소정보기술,1920X1080,2021-10-18,말티즈,6,F,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
43,Y,1046,386,322,266,IMG_D_A1_011126.jpg,㈜미소정보기술,1920X1080,2021-10-18,말티즈,7,F,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
44,Y,947,502,361,268,IMG_D_A1_011127.jpg,㈜미소정보기술,1920X1080,2021-10-18,말티즈,7,F,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
45,Y,746,352,335,230,IMG_D_A1_011128.jpg,㈜미소정보기술,1920X1080,2021-10-18,말티즈,7,F,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
46,Y,788,401,309,290,IMG_D_A1_011129.jpg,㈜미소정보기술,1920X1080,2021-10-18,말티즈,7,F,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
47,Y,825,308,122,130,IMG_D_A1_011130.jpg,㈜미소정보기술,1920X1080,2021-10-21,말티즈,3,M,A,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
48,Y,989,483,133,108,IMG_D_A1_011131.jpg,㈜미소정보기술,1920X1080,2021-10-21,말티즈,7,M,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
49,Y,747,461,131,102,IMG_D_A1_011132.jpg,㈜미소정보기술,1920X1080,2021-10-21,말티즈,7,M,A,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
50,Y,1005,562,99,86,IMG_D_A1_011133.jpg,㈜미소정보기술,1920X1080,2021-10-21,푸들,6,F,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
51,Y,358,288,115,100,IMG_D_A1_011134.jpg,㈜미소정보기술,1920X1080,2021-10-21,푸들,6,F,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
52,Y,786,318,322,394,IMG_D_A1_011135.jpg,㈜미소정보기술,1920X1080,2021-10-21,푸들,6,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
53,Y,1487,493,85,76,IMG_D_A1_011136.jpg,㈜미소정보기술,1920X1080,2021-10-27,불독,16,F,A,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
54,Y,1012,265,233,354,IMG_D_A1_011137.jpg,㈜미소정보기술,1920X1080,2021-10-27,시바견,7,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
55,Y,1122,943,195,111,IMG_D_A1_011138.jpg,㈜미소정보기술,1920X1080,2021-10-27,몽그렐,12,M,A,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
56,Y,967,868,75,79,IMG_D_A1_011139.jpg,㈜미소정보기술,1920X1080,2021-10-27,진돗개,15,F,H,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
57,Y,972,446,142,111,IMG_D_A1_011140.jpg,㈜미소정보기술,1920X1080,2021-10-27,셔틀랜드쉽독,11,M,H,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
58,Y,825,318,282,210,IMG_D_A1_011141.jpg,㈜미소정보기술,1920X1080,2021-10-27,로트와일러,4,M,A,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
59,Y,944,568,367,228,IMG_D_A1_011142.jpg,㈜미소정보기술,1920X1080,2021-10-27,비글,11,F,A,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
60,Y,686,610,304,209,IMG_D_A1_011143.jpg,㈜미소정보기술,1920X1080,2021-10-27,포인터,4,M,H,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
61,Y,807,476,435,375,IMG_D_A1_011144.jpg,㈜미소정보기술,1920X1080,2021-10-27,셔틀랜드쉽독,17,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
62,Y,811,491,382,258,IMG_D_A1_011145.jpg,㈜미소정보기술,1920X1080,2021-10-27,불테리어,16,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
63,Y,361,284,570,683,IMG_D_A1_011146.jpg,㈜미소정보기술,1920X1080,2021-10-27,바셋하운드,4,F,A,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
64,Y,833,428,317,112,IMG_D_A1_011147.jpg,㈜미소정보기술,1920X1080,2021-10-27,말티즈,2,F,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
65,Y,1018,412,480,263,IMG_D_A1_011148.jpg,㈜미소정보기술,1920X1080,2021-10-27,말티즈,2,F,H,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
66,Y,630,397,570,414,IMG_D_A1_011150.jpg,㈜미소정보기술,1920X1080,2021-10-27,말티즈,2,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
67,Y,432,322,887,319,IMG_D_A1_011153.jpg,㈜미소정보기술,1920X1080,2021-10-27,말티즈,2,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
68,Y,391,394,201,250,IMG_D_A1_011157.jpg,㈜미소정보기술,1920X1080,2021-10-27,말티즈,2,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
69,Y,837,260,134,86,IMG_D_A1_011158.jpg,㈜미소정보기술,1920X1080,2021-10-27,말티즈,2,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
70,Y,420,445,137,141,IMG_D_A1_011160.jpg,㈜미소정보기술,1920X1080,2021-10-27,말티즈,2,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
71,Y,299,776,184,98,IMG_D_A1_011161.jpg,㈜미소정보기술,1920X1080,2021-10-27,말티즈,2,F,A,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
72,Y,561,342,433,198,IMG_D_A1_011162.jpg,㈜미소정보기술,1920X1080,2021-10-27,말티즈,2,F,A,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
73,Y,748,388,266,157,IMG_D_A1_011163.jpg,㈜미소정보기술,1920X1080,2021-10-27,말티즈,2,F,A,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
74,Y,834,263,112,92,IMG_D_A1_011164.jpg,㈜미소정보기술,1920X1080,2021-10-27,시츄,4,F,A,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
75,Y,489,152,193,91,IMG_D_A1_011165.jpg,㈜미소정보기술,1920X1080,2021-10-27,포메라니안,2,F,A,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
76,Y,932,364,193,124,IMG_D_A1_011166.jpg,㈜미소정보기술,1920X1080,2021-10-27,푸들,4,F,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
77,Y,194,332,193,159,IMG_D_A1_011167.jpg,㈜미소정보기술,1920X1080,2021-10-27,푸들,4,F,H,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
78,Y,1065,573,119,106,IMG_D_A1_011168.jpg,㈜미소정보기술,1920X1080,2021-10-27,푸들,5,M,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
79,Y,232,223,423,402,IMG_D_A1_011169.jpg,㈜미소정보기술,1920X1080,2021-10-27,푸들,5,M,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
80,Y,104,490,379,223,IMG_D_A1_011170.jpg,㈜미소정보기술,1920X1080,2021-10-27,푸들,5,M,H,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
81,Y,851,426,390,202,IMG_D_A1_011171.jpg,㈜미소정보기술,1920X1080,2021-10-27,푸들,5,F,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
82,Y,671,548,157,164,IMG_D_A1_011172.jpg,㈜미소정보기술,1920X1080,2021-11-02,몽그렐,7,F,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
83,Y,858,507,47,50,IMG_D_A1_10_011173.jpg,㈜미소정보기술,1920X1080,2021-11-02,몽그렐,2,M,H,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
84,Y,915,177,48,44,IMG_D_A1_011174.jpg,㈜미소정보기술,1920X1080,2021-11-02,몽그렐,14,M,A,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
